epoch,abuse_accuracy,abuse_loss,loss,sarcasm_accuracy,sarcasm_loss,sentiment_accuracy,sentiment_loss,val_abuse_accuracy,val_abuse_loss,val_loss,val_sarcasm_accuracy,val_sarcasm_loss,val_sentiment_accuracy,val_sentiment_loss,val_vulgar_accuracy,val_vulgar_loss,vulgar_accuracy,vulgar_loss
0,0.5943545699119568,0.10118958353996277,1.5674983263015747,0.7513478994369507,0.5307391285896301,0.6171900033950806,0.8727532625198364,0.7373096346855164,0.056457746773958206,0.8720139265060425,0.885152280330658,0.2890172600746155,0.8274111747741699,0.4944179952144623,0.7836294174194336,0.03212093934416771,0.6477957367897034,0.06281686574220657
1,0.7445290088653564,0.059175100177526474,0.595387876033783,0.9454487562179565,0.17517946660518646,0.8997780084609985,0.3240607976913452,0.8775380849838257,0.032228339463472366,0.35367321968078613,0.9733502268791199,0.09350138902664185,0.9346446990966797,0.2097470760345459,0.8800761699676514,0.018196456134319305,0.7675229907035828,0.036972422152757645
2,0.841103732585907,0.039509110152721405,0.21477176249027252,0.9914367198944092,0.05166998505592346,0.9820805788040161,0.09998147189617157,0.913705587387085,0.022149883210659027,0.2690258026123047,0.9701776504516602,0.07538367807865143,0.9486040472984314,0.16181811690330505,0.9384517669677734,0.009674099273979664,0.8623533248901367,0.02361120469868183
3,0.9115128517150879,0.02443160116672516,0.10260070860385895,0.9968284368515015,0.02267233282327652,0.9949254393577576,0.039811089634895325,0.9403553009033203,0.01868448033928871,0.23615731298923492,0.9835025668144226,0.045829661190509796,0.9511421322822571,0.16411077976226807,0.9555837512016296,0.007532437331974506,0.9067554473876953,0.015685705468058586
4,0.9465588331222534,0.015234019607305527,0.05777908116579056,0.9987313747406006,0.011446078307926655,0.9976212978363037,0.021689489483833313,0.9568527936935425,0.013458767905831337,0.23725780844688416,0.9796954393386841,0.05558481067419052,0.9549492597579956,0.16461306810379028,0.9765228629112244,0.003601143602281809,0.94830322265625,0.009409467689692974
5,0.9697113633155823,0.009587577544152737,0.03689264506101608,0.9988899230957031,0.007901370525360107,0.9985727667808533,0.01287989504635334,0.9752538204193115,0.008577017113566399,0.2309480607509613,0.9822335243225098,0.04887765645980835,0.9543147087097168,0.1683918982744217,0.9739847779273987,0.0051015024073421955,0.959879457950592,0.006523812655359507
6,0.9765303134918213,0.0073301950469613075,0.02584943175315857,0.999207079410553,0.006401042453944683,0.9993656873703003,0.007642325013875961,0.971446692943573,0.009111863560974598,0.23820030689239502,0.9777919054031372,0.054170917719602585,0.9543147087097168,0.17209365963935852,0.9828680157661438,0.0028238873928785324,0.9757373929023743,0.004475865513086319
7,0.9873136878013611,0.00441118935123086,0.02126404643058777,0.999207079410553,0.005416501313447952,0.9987313747406006,0.008066918700933456,0.9803299307823181,0.007544415071606636,0.2278936505317688,0.9847715497016907,0.04279318079352379,0.9517766237258911,0.1756558120250702,0.9885786771774292,0.0019002152839675546,0.9812876582145691,0.0033694393932819366
8,0.9906438589096069,0.003224634099751711,0.016050463542342186,0.9995242357254028,0.0027831359766423702,0.9984142184257507,0.007223682943731546,0.9809644818305969,0.0069483546540141106,0.25043413043022156,0.9809644818305969,0.05361291766166687,0.9517766237258911,0.18705981969833374,0.9847715497016907,0.002813018625602126,0.9850935339927673,0.002819011453539133
9,0.9942911267280579,0.0023680359590798616,0.008925462141633034,1.0,0.001789536327123642,0.9995242357254028,0.0030605208594352007,0.9720812439918518,0.010367244482040405,0.27741074562072754,0.9784263968467712,0.06526212394237518,0.953045666217804,0.2006167471408844,0.9942893385887146,0.0011646323837339878,0.9909610152244568,0.001707370625808835
10,0.9957183599472046,0.0018706807168200612,0.008132653310894966,0.9998413920402527,0.0012966955546289682,0.9996828436851501,0.003438524901866913,0.9835025668144226,0.007009382825344801,0.2532670199871063,0.9892131686210632,0.03886517509818077,0.950507640838623,0.20642201602458954,0.9974619150161743,0.0009704644326120615,0.9911195635795593,0.0015267512062564492
11,0.995559811592102,0.002082624239847064,0.01310816965997219,0.9988899230957031,0.005875728093087673,0.9993656873703003,0.003581568831577897,0.981598973274231,0.007505130022764206,0.28617408871650696,0.9739847779273987,0.08257820457220078,0.953045666217804,0.19475725293159485,0.9955583810806274,0.0013334871036931872,0.9928639531135559,0.0015682469820603728
12,0.9931811094284058,0.0021515239495784044,0.01528254710137844,0.999207079410553,0.002986097941175103,0.999207079410553,0.00807496439665556,0.9739847779273987,0.010025279596447945,0.2821827828884125,0.981598973274231,0.05601934343576431,0.9492385983467102,0.21458804607391357,0.9936548471450806,0.0015501223970204592,0.9893751740455627,0.002069963375106454
