,precision,recall,f1-score,support
Non Vulgar,0.9962962962962963,0.9871559633027523,0.991705069124424,1090.0
Vulgar,0.9717741935483871,0.9917695473251029,0.9816700610997964,486.0
accuracy,0.9885786802030457,0.9885786802030457,0.9885786802030457,0.9885786802030457
macro avg,0.9840352449223417,0.9894627553139277,0.9866875651121102,1576.0
weighted avg,0.9887342773016999,0.9885786802030457,0.9886105171574385,1576.0
