,precision,recall,f1-score,support
Negative,0.9582278481012658,0.9486215538847118,0.9534005037783375,798.0
Neutral,0.959375,1.0,0.9792663476874003,307.0
Positive,0.9356223175965666,0.9256900212314225,0.9306296691568837,471.0
accuracy,0.9517766497461929,0.9517766497461929,0.9517766497461929,0.9517766497461929
macro avg,0.9510750552326108,0.9581038583720448,0.9544321735408738,1576.0
weighted avg,0.9516954691451731,0.9517766497461929,0.9516338483045923,1576.0
