,precision,recall,f1-score,support
Abusive,0.9565916398713826,0.993322203672788,0.9746109746109747,599.0
Non-abusive,0.9958071278825996,0.9723643807574207,0.9839461418953911,977.0
accuracy,0.9803299492385786,0.9803299492385786,0.9803299492385786,0.9803299492385786
macro avg,0.9761993838769911,0.9828432922151044,0.9792785582531829,1576.0
weighted avg,0.9809022564874733,0.9803299492385786,0.9803980675277735,1576.0
