,precision,recall,f1-score,support
Negative,0.9776609724047306,0.9323308270676691,0.9544579858883899,798.0
Neutral,0.9654088050314465,1.0,0.9824,307.0
Positive,0.9094567404426559,0.9596602972399151,0.933884297520661,471.0
accuracy,0.9536802030456852,0.9536802030456852,0.9536802030456852,0.9536802030456852
macro avg,0.9508421726262778,0.9639970414358614,0.9569140944696836,1576.0
weighted avg,0.9548909161625126,0.9536802030456852,0.953752396491857,1576.0
