,precision,recall,f1-score,support
Negative,0.9700520833333334,0.9335839598997494,0.9514687100893998,798.0
Neutral,0.9320987654320988,0.9837133550488599,0.9572107765451664,307.0
Positive,0.9173553719008265,0.9426751592356688,0.9298429319371728,471.0
accuracy,0.9460659898477157,0.9460659898477157,0.9460659898477157,0.9460659898477157
macro avg,0.9398354068887529,0.9533241580614261,0.946174139523913,1576.0
weighted avg,0.9469100657696342,0.9460659898477157,0.9461242131936011,1576.0
