,precision,recall,f1-score,support
Non Vulgar,0.9826325411334552,0.9862385321100917,0.9844322344322345,1090.0
Vulgar,0.9688796680497925,0.9609053497942387,0.9648760330578513,486.0
accuracy,0.9784263959390863,0.9784263959390863,0.9784263959390863,0.9784263959390863
macro avg,0.9757561045916239,0.9735719409521653,0.974654133745043,1576.0
weighted avg,0.9783914901698384,0.9784263959390863,0.9784015784246518,1576.0
